image_path,class,xmin,ymin,xmax,ymax
train_images\10ABC.jpg,1,86,114,95,128
train_images\10ABC.jpg,1,86,149,95,162
train_images\10ABC.jpg,1,84,184,95,198
train_images\10ABC.jpg,1,86,219,93,237
train_images\10ABC.jpg,1,85,257,93,272
train_images\10ABC.jpg,1,83,291,95,308
train_images\10ABC.jpg,1,85,327,94,345
train_images\10ABC.jpg,1,83,361,92,382
train_images\10ABC.jpg,1,85,403,94,424
train_images\10ABC.jpg,1,81,436,92,458
train_images\10ABC.jpg,1,84,475,93,498
train_images\10ABC.jpg,1,83,513,93,537
train_images\10ABC.jpg,1,81,553,92,574
train_images\10ABC.jpg,1,81,589,94,613
train_images\10ABC.jpg,1,81,627,94,649
train_images\10ABC.jpg,1,82,666,95,687
train_images\10ABC.jpg,1,83,704,94,726
train_images\10ABC.jpg,1,84,742,92,764
train_images\10ABC.jpg,1,85,782,93,801
train_images\10ABC.jpg,1,84,818,97,843
train_images\10ABC.jpg,12,99,818,115,844
train_images\10ABC.jpg,12,99,782,114,808
train_images\10ABC.jpg,12,99,741,115,765
train_images\10ABC.jpg,12,97,701,115,728
train_images\10ABC.jpg,12,99,666,114,690
train_images\10ABC.jpg,12,98,627,113,656
train_images\10ABC.jpg,12,98,589,113,614
train_images\10ABC.jpg,12,98,550,113,575
train_images\10ABC.jpg,12,102,513,114,540
train_images\10ABC.jpg,12,98,473,112,499
train_images\10ABC.jpg,12,102,436,113,461
train_images\10ABC.jpg,12,99,401,116,423
train_images\10ABC.jpg,12,100,361,115,383
train_images\10ABC.jpg,12,98,323,115,349
train_images\10ABC.jpg,12,99,287,115,312
train_images\10ABC.jpg,12,102,111,115,132
train_images\10ABC.jpg,12,104,182,114,203
train_images\10ABC.jpg,12,103,216,115,239
train_images\10ABC.jpg,12,102,251,114,277
train_images\10ABC.jpg,12,104,145,115,168
train_images\10ABC.jpg,14,120,112,139,132
train_images\10ABC.jpg,14,121,143,138,166
train_images\10ABC.jpg,14,120,181,138,204
